Order Number,Line Number,Order Date,Delivery Date,Customer Name,Customer Gender,Customer Country,Customer Age,Store Name,Product Name,Color,Brand,Category,Subcategory,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
284806,1,2017-10-18,2017-10-20,Eric Kennedy,Male,United States,47,Online store,Contoso 512MB MP3 Player E51 Silver,Silver,Contoso,Audio,MP4&MP3,7,11.691,10.288,5.958,USD,1
285506,1,2017-10-25,2017-10-26,George Tooth,Male,Australia,30,Online store,Contoso 512MB MP3 Player E51 Silver,Silver,Contoso,Audio,MP4&MP3,1,11.691,11.691,5.958,AUD,1.2967
311002,2,2018-07-07,2018-07-12,Caleb Greene,Male,Australia,59,Online store,Contoso 512MB MP3 Player E51 Silver,Silver,Contoso,Audio,MP4&MP3,6,12.99,12.99,6.62,AUD,1.3484
366307,2,2020-01-11,2020-01-11,Isaac Siddins,Male,Australia,25,Contoso Store Western Australia,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,4,12.99,12.99,6.62,AUD,1.4545
325708,3,2018-12-01,2018-12-02,Mike McQueen,Male,United States,56,Online store,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,2,12.99,11.5611,6.62,USD,1
333705,2,2019-02-19,2019-02-24,Freddie Obryan,Male,United States,82,Online store,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,2,12.99,12.99,6.62,USD,1
364216,2,2019-12-21,2019-12-21,Clifford Wagner,Male,United States,82,Contoso Store Wyoming,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,2,12.99,11.3013,6.62,USD,1
349400,5,2019-07-26,2019-07-30,Gertrude Franklin,Female,United States,85,Online store,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,10,12.99,11.4312,6.62,USD,1
328901,0,2019-01-02,2019-01-03,Maximilian Keller,Male,Germany,61,Online store,Contoso 512MB MP3 Player E51 Blue,Blue,Contoso,Audio,MP4&MP3,6,12.99,12.99,6.62,EUR,0.8774
365408,0,2020-01-02,2020-01-02,Lammert Kienhuis,Male,Netherlands,56,Contoso Store Groningen,Contoso 1G MP3 Player E100 White,White,Contoso,Audio,MP4&MP3,3,14.52,13.5036,7.40,EUR,0.8934
292303,4,2018-01-01,2018-01-01,Maurelle Brunault,Female,United States,23,Contoso Store Maine,Contoso 2G MP3 Player E200 Silver,Silver,Contoso,Audio,MP4&MP3,1,19.413,19.413,9.90,USD,1
347004,0,2019-07-02,2019-07-03,Zbigniew Jaworski,Male,United States,53,Online store,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,5,21.57,19.8444,11.00,USD,1
344903,0,2019-06-11,2019-06-15,Klaus Burger,Male,Germany,51,Online store,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,1,21.57,21.57,11.00,EUR,0.8834
329003,2,2019-01-03,2019-01-03,John Huerta,Male,United States,23,Contoso Store Maine,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,2,21.57,18.7659,11.00,USD,1
322103,0,2018-10-26,2018-10-30,Roy Genest,Male,United States,53,Online store,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,9,21.57,20.4915,11.00,USD,1
289204,1,2017-12-01,2017-12-01,Helen Venters,Female,United States,46,Contoso Store Arkansas,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,3,19.413,17.8599,9.90,USD,1
340806,0,2019-05-01,2019-05-04,Hannah Carrodus,Female,Australia,29,Online store,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,10,21.57,21.57,11.00,AUD,1.4183
307406,1,2018-06-01,2018-06-01,Jesse Carroll,Male,Australia,47,Contoso Store Victoria,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,8,21.57,21.57,11.00,AUD,1.3278
273602,4,2017-06-28,2017-07-01,Douglas Michel,Male,Canada,63,Online store,Contoso 2G MP3 Player E200 Black,Black,Contoso,Audio,MP4&MP3,1,19.413,16.8893,9.90,CAD,1.3088
336203,0,2019-03-16,2019-03-20,Ronnie Morton,Male,United States,69,Online store,Contoso 2G MP3 Player E200 Blue,Blue,Contoso,Audio,MP4&MP3,2,21.57,19.6287,11.00,USD,1
296609,6,2018-02-13,2018-02-18,Thomas Dingman,Male,United States,68,Online store,Contoso 4G MP3 Player E400 Silver,Silver,Contoso,Audio,MP4&MP3,4,53.991,53.991,27.522,USD,1
304000,0,2018-04-28,2018-05-02,Robert Brown,Male,Canada,59,Online store,Contoso 4G MP3 Player E400 Silver,Silver,Contoso,Audio,MP4&MP3,5,59.99,51.5914,30.58,CAD,1.2882
294209,2,2018-01-20,2018-01-20,Kazuko Densmore,Female,Canada,45,Contoso Store Northwest Territories,Contoso 4G MP3 Player E400 Silver,Silver,Contoso,Audio,MP4&MP3,2,53.991,51.8313,27.522,CAD,1.2441
317502,0,2018-09-10,2018-09-16,Zak West,Male,United Kingdom,80,Online store,Contoso 4G MP3 Player E400 Silver,Silver,Contoso,Audio,MP4&MP3,2,59.99,55.7907,30.58,GBP,0.7721
330606,4,2019-01-19,2019-01-22,Lori Rhodes,Female,Canada,26,Online store,Contoso 4G MP3 Player E400 Black,Black,Contoso,Audio,MP4&MP3,3,59.99,52.7912,30.58,CAD,1.3273
353000,2,2019-08-31,2019-09-02,Irving Johnson,Male,Canada,24,Online store,Contoso 4G MP3 Player E400 Black,Black,Contoso,Audio,MP4&MP3,2,59.99,59.3901,30.58,CAD,1.3282
322205,2,2018-10-27,2018-10-31,Sylvester Muncy,Male,Canada,82,Online store,Contoso 4G MP3 Player E400 Black,Black,Contoso,Audio,MP4&MP3,2,59.99,55.7907,30.58,CAD,1.3148
365509,0,2020-01-03,2020-01-03,David Cobbett,Male,Australia,28,Contoso Store Western Australia,Contoso 4G MP3 Player E400 Green,Green,Contoso,Audio,MP4&MP3,4,59.99,59.3901,30.58,AUD,1.4381
319900,1,2018-10-04,2018-10-07,René Marleau,Male,France,71,Online store,Contoso 4G MP3 Player E400 Green,Green,Contoso,Audio,MP4&MP3,7,59.99,59.99,30.58,EUR,0.8694
293305,1,2018-01-11,2018-01-11,Benny Jackson,Male,United States,72,Contoso Store Maine,Contoso 4G MP3 Player E400 Green,Green,Contoso,Audio,MP4&MP3,1,53.991,53.451,27.522,USD,1
363807,0,2019-12-17,2019-12-19,Joseph Leath,Male,United States,84,Online store,Contoso 4G MP3 Player E400 Green,Green,Contoso,Audio,MP4&MP3,2,59.99,53.3911,30.58,USD,1
292510,5,2018-01-03,2018-01-03,Nancy Stevens,Female,United States,25,Contoso Store New Hampshire,Contoso 4G MP3 Player E400 Green,Green,Contoso,Audio,MP4&MP3,3,53.991,53.991,27.522,USD,1
368302,0,2020-01-31,2020-02-03,Karolin Schwartz,Female,Germany,70,Online store,Contoso 4G MP3 Player E400 Orange,Orange,Contoso,Audio,MP4&MP3,1,59.99,59.99,30.58,EUR,0.9048
328302,2,2018-12-27,2018-12-27,Linda Lee,Female,United States,59,Contoso Store Hawaii,Contoso 4G MP3 Player E400 Orange,Orange,Contoso,Audio,MP4&MP3,3,59.99,53.3911,30.58,USD,1
